,daylabel,year,month,day,hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
23,1.0,2011.0,1.0,1.0,23.0,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,39.0
24,2.0,2011.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,17.0
25,2.0,2011.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,18.04,21.97,94.0,16.9979,17.0
26,2.0,2011.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,17.22,21.21,100.0,19.0012,9.0
27,2.0,2011.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,18.86,22.725,94.0,12.998,6.0
28,2.0,2011.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,18.86,22.725,94.0,12.998,3.0
29,2.0,2011.0,1.0,2.0,5.0,1.0,0.0,0.0,2.5,18.04,21.9675,85.5,16.49875,0.0
30,2.0,2011.0,1.0,2.0,6.0,1.0,0.0,0.0,3.0,17.22,21.21,77.0,19.9995,2.0
31,2.0,2011.0,1.0,2.0,7.0,1.0,0.0,0.0,2.0,16.4,20.455,76.0,12.998,1.0
32,2.0,2011.0,1.0,2.0,8.0,1.0,0.0,0.0,3.0,16.4,20.455,71.0,15.0013,8.0
33,2.0,2011.0,1.0,2.0,9.0,1.0,0.0,0.0,2.0,15.58,19.695,76.0,15.0013,20.0
34,2.0,2011.0,1.0,2.0,10.0,1.0,0.0,0.0,2.0,14.76,17.425,81.0,15.0013,53.0
35,2.0,2011.0,1.0,2.0,11.0,1.0,0.0,0.0,2.0,14.76,16.665,71.0,16.9979,70.0
36,2.0,2011.0,1.0,2.0,12.0,1.0,0.0,0.0,2.0,14.76,16.665,66.0,19.9995,93.0
37,2.0,2011.0,1.0,2.0,13.0,1.0,0.0,0.0,2.0,14.76,17.425,66.0,8.9981,75.0
38,2.0,2011.0,1.0,2.0,14.0,1.0,0.0,0.0,3.0,14.76,17.425,76.0,12.998,59.0
39,2.0,2011.0,1.0,2.0,15.0,1.0,0.0,0.0,3.0,13.94,16.665,81.0,11.0014,74.0
40,2.0,2011.0,1.0,2.0,16.0,1.0,0.0,0.0,3.0,13.94,16.665,71.0,11.0014,76.0
41,2.0,2011.0,1.0,2.0,17.0,1.0,0.0,0.0,1.0,13.94,16.665,57.0,12.998,65.0
42,2.0,2011.0,1.0,2.0,18.0,1.0,0.0,0.0,2.0,14.76,16.665,46.0,22.0028,53.0
43,2.0,2011.0,1.0,2.0,19.0,1.0,0.0,0.0,1.0,13.12,14.395,42.0,30.0026,30.0
44,2.0,2011.0,1.0,2.0,20.0,1.0,0.0,0.0,1.0,12.3,13.635,39.0,23.9994,22.0
45,2.0,2011.0,1.0,2.0,21.0,1.0,0.0,0.0,1.0,10.66,11.365,44.0,22.0028,31.0
46,2.0,2011.0,1.0,2.0,22.0,1.0,0.0,0.0,1.0,9.84,10.605,44.0,19.9995,9.0
47,2.0,2011.0,1.0,2.0,23.0,1.0,0.0,0.0,1.0,9.02,11.365,47.0,11.0014,8.0
48,3.0,2011.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,9.02,9.85,44.0,23.9994,5.0
49,3.0,2011.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,8.2,8.335,44.0,27.9993,2.0
50,3.0,2011.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,7.38,7.5775,45.5,27.001,0.0
51,3.0,2011.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,7.38,7.5775,45.5,27.001,0.0
52,3.0,2011.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,6.56,6.82,47.0,26.0027,1.0
53,3.0,2011.0,1.0,3.0,5.0,1.0,0.0,1.0,1.0,6.56,6.82,47.0,19.0012,3.0
54,3.0,2011.0,1.0,3.0,6.0,1.0,0.0,1.0,1.0,5.74,5.305,50.0,26.0027,30.0
55,3.0,2011.0,1.0,3.0,7.0,1.0,0.0,1.0,1.0,5.74,6.82,50.0,12.998,64.0
56,3.0,2011.0,1.0,3.0,8.0,1.0,0.0,1.0,1.0,5.74,6.06,50.0,19.0012,154.0
57,3.0,2011.0,1.0,3.0,9.0,1.0,0.0,1.0,1.0,6.56,6.82,43.0,26.0027,88.0
58,3.0,2011.0,1.0,3.0,10.0,1.0,0.0,1.0,1.0,7.38,8.335,43.0,16.9979,44.0
59,3.0,2011.0,1.0,3.0,11.0,1.0,0.0,1.0,1.0,8.2,9.09,40.0,22.0028,51.0
60,3.0,2011.0,1.0,3.0,12.0,1.0,0.0,1.0,1.0,9.02,10.605,35.0,19.9995,61.0
61,3.0,2011.0,1.0,3.0,13.0,1.0,0.0,1.0,1.0,9.84,10.605,35.0,19.0012,61.0
62,3.0,2011.0,1.0,3.0,14.0,1.0,0.0,1.0,1.0,10.66,12.12,30.0,19.0012,77.0
63,3.0,2011.0,1.0,3.0,15.0,1.0,0.0,1.0,1.0,10.66,12.12,30.0,16.9979,72.0
64,3.0,2011.0,1.0,3.0,16.0,1.0,0.0,1.0,1.0,10.66,12.12,30.0,16.9979,76.0
65,3.0,2011.0,1.0,3.0,17.0,1.0,0.0,1.0,1.0,9.84,11.365,30.0,15.0013,157.0
66,3.0,2011.0,1.0,3.0,18.0,1.0,0.0,1.0,1.0,9.84,12.88,32.0,7.0015,157.0
67,3.0,2011.0,1.0,3.0,19.0,1.0,0.0,1.0,1.0,8.2,12.88,47.0,0.0,110.0
68,3.0,2011.0,1.0,3.0,20.0,1.0,0.0,1.0,1.0,8.2,11.365,47.0,7.0015,52.0
69,3.0,2011.0,1.0,3.0,21.0,1.0,0.0,1.0,1.0,7.38,9.85,64.0,8.9981,52.0
70,3.0,2011.0,1.0,3.0,22.0,1.0,0.0,1.0,1.0,5.74,7.575,69.0,8.9981,20.0
71,3.0,2011.0,1.0,3.0,23.0,1.0,0.0,1.0,1.0,7.38,10.605,55.0,7.0015,12.0
72,4.0,2011.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,6.56,9.09,55.0,7.0015,5.0
73,4.0,2011.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,6.56,9.09,59.0,7.0015,2.0
74,4.0,2011.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0,5.74,7.575,63.0,8.9981,1.0
75,4.0,2011.0,1.0,4.0,3.0,1.0,0.0,1.0,1.0,5.74,8.3325,63.0,7.50065,0.0
76,4.0,2011.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,5.74,9.09,63.0,6.0032,2.0
77,4.0,2011.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,4.92,7.575,68.0,7.0015,4.0
78,4.0,2011.0,1.0,4.0,6.0,1.0,0.0,1.0,1.0,4.92,7.575,74.0,7.0015,36.0
79,4.0,2011.0,1.0,4.0,7.0,1.0,0.0,1.0,1.0,4.92,7.575,74.0,8.9981,94.0
80,4.0,2011.0,1.0,4.0,8.0,1.0,0.0,1.0,1.0,5.74,7.575,69.0,11.0014,179.0
81,4.0,2011.0,1.0,4.0,9.0,1.0,0.0,1.0,1.0,6.56,7.575,64.0,15.0013,100.0
82,4.0,2011.0,1.0,4.0,10.0,1.0,0.0,1.0,2.0,6.56,6.82,69.0,22.0028,42.0
83,4.0,2011.0,1.0,4.0,11.0,1.0,0.0,1.0,1.0,9.02,10.605,51.0,19.9995,57.0
84,4.0,2011.0,1.0,4.0,12.0,1.0,0.0,1.0,1.0,9.02,11.365,51.0,11.0014,78.0
85,4.0,2011.0,1.0,4.0,13.0,1.0,0.0,1.0,1.0,9.84,11.365,56.0,12.998,97.0
86,4.0,2011.0,1.0,4.0,14.0,1.0,0.0,1.0,1.0,10.66,12.88,52.0,15.0013,63.0
87,4.0,2011.0,1.0,4.0,15.0,1.0,0.0,1.0,1.0,11.48,13.635,52.0,16.9979,65.0
88,4.0,2011.0,1.0,4.0,16.0,1.0,0.0,1.0,1.0,12.3,14.395,49.0,16.9979,83.0
89,4.0,2011.0,1.0,4.0,17.0,1.0,0.0,1.0,1.0,11.48,13.635,48.0,15.0013,212.0
90,4.0,2011.0,1.0,4.0,18.0,1.0,0.0,1.0,1.0,10.66,12.88,48.0,12.998,182.0
91,4.0,2011.0,1.0,4.0,19.0,1.0,0.0,1.0,1.0,9.84,12.88,48.0,7.0015,112.0
92,4.0,2011.0,1.0,4.0,20.0,1.0,0.0,1.0,1.0,9.84,12.88,48.0,7.0015,54.0
93,4.0,2011.0,1.0,4.0,21.0,1.0,0.0,1.0,1.0,9.02,13.635,64.0,0.0,48.0
94,4.0,2011.0,1.0,4.0,22.0,1.0,0.0,1.0,1.0,9.02,12.88,64.0,6.0032,35.0
95,4.0,2011.0,1.0,4.0,23.0,1.0,0.0,1.0,1.0,8.2,11.365,69.0,6.0032,11.0
96,5.0,2011.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,8.2,12.88,64.0,0.0,6.0
97,5.0,2011.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,6.56,9.85,74.0,6.0032,6.0
98,5.0,2011.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,6.56,9.85,74.0,6.0032,2.0
99,5.0,2011.0,1.0,5.0,3.0,1.0,0.0,1.0,1.0,8.2,10.6075,61.0,10.50225,0.0
100,5.0,2011.0,1.0,5.0,4.0,1.0,0.0,1.0,1.0,9.84,11.365,48.0,15.0013,2.0
101,5.0,2011.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,9.02,11.365,47.0,11.0014,3.0
102,5.0,2011.0,1.0,5.0,6.0,1.0,0.0,1.0,1.0,8.2,9.85,47.0,15.0013,33.0
103,5.0,2011.0,1.0,5.0,7.0,1.0,0.0,1.0,1.0,7.38,9.09,43.0,12.998,88.0
104,5.0,2011.0,1.0,5.0,8.0,1.0,0.0,1.0,1.0,8.2,9.09,40.0,19.9995,195.0
105,5.0,2011.0,1.0,5.0,9.0,1.0,0.0,1.0,1.0,9.02,9.85,37.0,22.0028,115.0
106,5.0,2011.0,1.0,5.0,10.0,1.0,0.0,1.0,1.0,9.02,9.85,37.0,22.0028,57.0
107,5.0,2011.0,1.0,5.0,11.0,1.0,0.0,1.0,1.0,10.66,11.365,33.0,22.0028,46.0
108,5.0,2011.0,1.0,5.0,12.0,1.0,0.0,1.0,1.0,10.66,11.365,33.0,22.0028,79.0
109,5.0,2011.0,1.0,5.0,13.0,1.0,0.0,1.0,1.0,11.48,12.88,30.0,19.9995,71.0
110,5.0,2011.0,1.0,5.0,14.0,1.0,0.0,1.0,1.0,12.3,14.395,28.0,12.998,62.0
111,5.0,2011.0,1.0,5.0,15.0,1.0,0.0,1.0,1.0,12.3,14.395,28.0,12.998,62.0
112,5.0,2011.0,1.0,5.0,16.0,1.0,0.0,1.0,1.0,12.3,15.91,28.0,6.0032,89.0
113,5.0,2011.0,1.0,5.0,17.0,1.0,0.0,1.0,1.0,9.84,11.365,38.0,12.998,190.0
114,5.0,2011.0,1.0,5.0,18.0,1.0,0.0,1.0,1.0,9.84,12.12,38.0,8.9981,169.0
115,5.0,2011.0,1.0,5.0,19.0,1.0,0.0,1.0,1.0,9.84,12.88,38.0,7.0015,132.0
116,5.0,2011.0,1.0,5.0,20.0,1.0,0.0,1.0,1.0,9.02,11.365,47.0,11.0014,89.0
117,5.0,2011.0,1.0,5.0,21.0,1.0,0.0,1.0,1.0,8.2,9.85,51.0,12.998,43.0
118,5.0,2011.0,1.0,5.0,22.0,1.0,0.0,1.0,1.0,7.38,9.85,55.0,8.9981,42.0
119,5.0,2011.0,1.0,5.0,23.0,1.0,0.0,1.0,1.0,8.2,12.88,47.0,0.0,19.0
120,6.0,2011.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,7.38,12.12,55.0,0.0,11.0
121,6.0,2011.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,6.56,11.365,64.0,0.0,4.0
122,6.0,2011.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,6.56,11.365,64.0,0.0,2.0
123,6.0,2011.0,1.0,6.0,3.0,1.0,0.0,1.0,1.5,6.56,10.6075,64.0,3.0016,0.0
124,6.0,2011.0,1.0,6.0,4.0,1.0,0.0,1.0,2.0,6.56,9.85,64.0,6.0032,1.0
125,6.0,2011.0,1.0,6.0,5.0,1.0,0.0,1.0,2.0,5.74,9.09,69.0,6.0032,4.0
126,6.0,2011.0,1.0,6.0,6.0,1.0,0.0,1.0,2.0,5.74,8.335,63.0,7.0015,36.0
127,6.0,2011.0,1.0,6.0,7.0,1.0,0.0,1.0,2.0,6.56,11.365,59.0,0.0,95.0
128,6.0,2011.0,1.0,6.0,8.0,1.0,0.0,1.0,1.0,6.56,11.365,59.0,0.0,219.0
129,6.0,2011.0,1.0,6.0,9.0,1.0,0.0,1.0,2.0,7.38,12.12,51.0,0.0,122.0
130,6.0,2011.0,1.0,6.0,10.0,1.0,0.0,1.0,1.0,8.2,12.88,47.0,0.0,45.0
131,6.0,2011.0,1.0,6.0,11.0,1.0,0.0,1.0,1.0,9.02,12.88,44.0,6.0032,59.0
132,6.0,2011.0,1.0,6.0,12.0,1.0,0.0,1.0,1.0,10.66,14.395,35.0,0.0,84.0
133,6.0,2011.0,1.0,6.0,13.0,1.0,0.0,1.0,1.0,10.66,13.635,35.0,7.0015,67.0
134,6.0,2011.0,1.0,6.0,14.0,1.0,0.0,1.0,1.0,11.48,13.635,36.0,11.0014,70.0
135,6.0,2011.0,1.0,6.0,15.0,1.0,0.0,1.0,1.0,11.48,13.635,36.0,0.0,62.0
136,6.0,2011.0,1.0,6.0,16.0,1.0,0.0,1.0,1.0,10.66,12.88,38.0,11.0014,86.0
137,6.0,2011.0,1.0,6.0,17.0,1.0,0.0,1.0,1.0,9.02,11.365,51.0,11.0014,172.0
138,6.0,2011.0,1.0,6.0,18.0,1.0,0.0,1.0,1.0,9.02,11.365,51.0,8.9981,163.0
139,6.0,2011.0,1.0,6.0,19.0,1.0,0.0,1.0,1.0,9.02,12.88,55.0,6.0032,112.0
140,6.0,2011.0,1.0,6.0,20.0,1.0,0.0,1.0,1.0,8.2,10.605,51.0,11.0014,69.0
141,6.0,2011.0,1.0,6.0,21.0,1.0,0.0,1.0,2.0,9.02,10.605,55.0,15.0013,48.0
142,6.0,2011.0,1.0,6.0,22.0,1.0,0.0,1.0,2.0,9.02,10.605,51.0,19.0012,52.0
143,6.0,2011.0,1.0,6.0,23.0,1.0,0.0,1.0,2.0,8.2,9.85,59.0,12.998,23.0
144,7.0,2011.0,1.0,7.0,0.0,1.0,0.0,1.0,2.0,8.2,9.85,64.0,12.998,17.0
145,7.0,2011.0,1.0,7.0,1.0,1.0,0.0,1.0,2.0,8.2,9.85,69.0,15.0013,7.0
146,7.0,2011.0,1.0,7.0,2.0,1.0,0.0,1.0,2.0,8.2,9.85,69.0,15.0013,1.0
147,7.0,2011.0,1.0,7.0,3.0,1.0,0.0,1.0,2.0,8.2,10.2275,69.0,11.9997,0.0
148,7.0,2011.0,1.0,7.0,4.0,1.0,0.0,1.0,2.0,8.2,10.605,69.0,8.9981,1.0
149,7.0,2011.0,1.0,7.0,5.0,1.0,0.0,1.0,3.0,9.02,13.635,55.0,0.0,5.0
150,7.0,2011.0,1.0,7.0,6.0,1.0,0.0,1.0,2.0,8.2,12.88,69.0,0.0,34.0
151,7.0,2011.0,1.0,7.0,7.0,1.0,0.0,1.0,1.0,8.2,10.605,69.0,8.9981,84.0
152,7.0,2011.0,1.0,7.0,8.0,1.0,0.0,1.0,1.0,8.2,9.85,51.0,16.9979,210.0
153,7.0,2011.0,1.0,7.0,9.0,1.0,0.0,1.0,1.0,8.2,9.09,47.0,19.9995,134.0
154,7.0,2011.0,1.0,7.0,10.0,1.0,0.0,1.0,1.0,9.02,9.85,37.0,22.0028,63.0
155,7.0,2011.0,1.0,7.0,11.0,1.0,0.0,1.0,2.0,8.2,9.85,40.0,15.0013,67.0
156,7.0,2011.0,1.0,7.0,12.0,1.0,0.0,1.0,2.0,8.2,9.85,37.0,16.9979,59.0
157,7.0,2011.0,1.0,7.0,13.0,1.0,0.0,1.0,2.0,8.2,9.09,37.0,19.0012,73.0
158,7.0,2011.0,1.0,7.0,14.0,1.0,0.0,1.0,2.0,8.2,9.85,40.0,16.9979,50.0
159,7.0,2011.0,1.0,7.0,15.0,1.0,0.0,1.0,2.0,8.2,10.605,37.0,11.0014,72.0
160,7.0,2011.0,1.0,7.0,16.0,1.0,0.0,1.0,2.0,8.2,10.605,37.0,11.0014,87.0
161,7.0,2011.0,1.0,7.0,17.0,1.0,0.0,1.0,2.0,8.2,12.88,37.0,0.0,187.0
162,7.0,2011.0,1.0,7.0,18.0,1.0,0.0,1.0,1.0,8.2,11.365,40.0,6.0032,123.0
163,7.0,2011.0,1.0,7.0,19.0,1.0,0.0,1.0,1.0,6.56,9.85,55.0,6.0032,95.0
164,7.0,2011.0,1.0,7.0,20.0,1.0,0.0,1.0,1.0,7.38,10.605,47.0,7.0015,51.0
165,7.0,2011.0,1.0,7.0,21.0,1.0,0.0,1.0,1.0,7.38,9.85,47.0,8.9981,39.0
166,7.0,2011.0,1.0,7.0,22.0,1.0,0.0,1.0,2.0,7.38,9.85,43.0,11.0014,36.0
167,7.0,2011.0,1.0,7.0,23.0,1.0,0.0,1.0,2.0,7.38,9.85,51.0,11.0014,15.0
168,8.0,2011.0,1.0,8.0,0.0,1.0,0.0,0.0,2.0,7.38,9.85,51.0,11.0014,25.0
169,8.0,2011.0,1.0,8.0,1.0,1.0,0.0,0.0,2.0,7.38,10.605,55.0,6.0032,16.0
170,8.0,2011.0,1.0,8.0,2.0,1.0,0.0,0.0,2.0,7.38,12.12,55.0,0.0,16.0
171,8.0,2011.0,1.0,8.0,3.0,1.0,0.0,0.0,3.0,7.38,9.85,55.0,11.0014,7.0
172,8.0,2011.0,1.0,8.0,4.0,1.0,0.0,0.0,3.0,7.38,9.85,55.0,11.0014,1.0
173,8.0,2011.0,1.0,8.0,5.0,1.0,0.0,0.0,2.0,6.56,8.335,74.0,11.0014,5.0
174,8.0,2011.0,1.0,8.0,6.0,1.0,0.0,0.0,2.0,6.56,8.335,74.0,11.0014,2.0
175,8.0,2011.0,1.0,8.0,7.0,1.0,0.0,0.0,2.0,6.56,9.09,74.0,7.0015,9.0
176,8.0,2011.0,1.0,8.0,8.0,1.0,0.0,0.0,3.0,6.56,9.09,93.0,7.0015,15.0
177,8.0,2011.0,1.0,8.0,9.0,1.0,0.0,0.0,3.0,6.56,9.09,93.0,7.0015,20.0
178,8.0,2011.0,1.0,8.0,10.0,1.0,0.0,0.0,2.0,7.38,9.85,80.0,11.0014,61.0
179,8.0,2011.0,1.0,8.0,11.0,1.0,0.0,0.0,2.0,8.2,9.09,69.0,26.0027,62.0
180,8.0,2011.0,1.0,8.0,12.0,1.0,0.0,0.0,2.0,8.2,9.09,59.0,23.9994,98.0
181,8.0,2011.0,1.0,8.0,13.0,1.0,0.0,0.0,1.0,8.2,9.09,44.0,22.0028,102.0
182,8.0,2011.0,1.0,8.0,14.0,1.0,0.0,0.0,1.0,8.2,8.335,32.0,17.602240000000002,95.0
183,8.0,2011.0,1.0,8.0,15.0,1.0,0.0,0.0,1.0,8.2,8.335,32.0,30.0026,74.0
184,8.0,2011.0,1.0,8.0,16.0,1.0,0.0,0.0,1.0,7.38,6.82,29.0,30.0026,76.0
185,8.0,2011.0,1.0,8.0,17.0,1.0,0.0,0.0,1.0,6.56,6.06,37.0,23.401760000000003,69.0
186,8.0,2011.0,1.0,8.0,18.0,1.0,0.0,0.0,1.0,5.74,6.06,39.0,19.9995,55.0
187,8.0,2011.0,1.0,8.0,19.0,1.0,0.0,0.0,1.0,5.74,6.06,36.0,16.9979,30.0
188,8.0,2011.0,1.0,8.0,20.0,1.0,0.0,0.0,1.0,4.92,6.06,36.0,16.9979,28.0
189,8.0,2011.0,1.0,8.0,21.0,1.0,0.0,0.0,1.0,4.92,5.305,39.0,23.9994,37.0
190,8.0,2011.0,1.0,8.0,22.0,1.0,0.0,0.0,1.0,4.92,5.305,36.0,26.0027,34.0
191,8.0,2011.0,1.0,8.0,23.0,1.0,0.0,0.0,1.0,4.1,3.03,39.0,30.0026,22.0
192,9.0,2011.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,4.1,3.79,42.0,26.0027,25.0
193,9.0,2011.0,1.0,9.0,1.0,1.0,0.0,0.0,1.0,4.1,3.03,42.0,31.0009,12.0
194,9.0,2011.0,1.0,9.0,2.0,1.0,0.0,0.0,1.0,4.1,3.03,46.0,31.0009,11.0
195,9.0,2011.0,1.0,9.0,3.0,1.0,0.0,0.0,1.0,4.1,3.79,46.0,27.9993,4.0
196,9.0,2011.0,1.0,9.0,4.0,1.0,0.0,0.0,1.0,3.28,4.545,53.0,12.998,1.0
197,9.0,2011.0,1.0,9.0,5.0,1.0,0.0,0.0,1.0,3.28,4.545,53.0,12.998,1.0
198,9.0,2011.0,1.0,9.0,6.0,1.0,0.0,0.0,1.0,4.1,4.545,49.0,19.0012,1.0
199,9.0,2011.0,1.0,9.0,7.0,1.0,0.0,0.0,1.0,3.28,4.545,53.0,12.998,6.0
200,9.0,2011.0,1.0,9.0,8.0,1.0,0.0,0.0,1.0,4.1,4.545,49.0,19.0012,10.0
201,9.0,2011.0,1.0,9.0,9.0,1.0,0.0,0.0,1.0,4.92,3.79,46.0,25.20138,19.0
202,9.0,2011.0,1.0,9.0,10.0,1.0,0.0,0.0,1.0,5.74,5.305,43.0,26.0027,49.0
203,9.0,2011.0,1.0,9.0,11.0,1.0,0.0,0.0,1.0,6.56,6.06,40.0,19.20086,49.0
204,9.0,2011.0,1.0,9.0,12.0,1.0,0.0,0.0,1.0,7.38,6.82,37.0,30.0026,83.0
205,9.0,2011.0,1.0,9.0,13.0,1.0,0.0,0.0,1.0,8.2,8.335,34.0,30.0026,75.0
206,9.0,2011.0,1.0,9.0,14.0,1.0,0.0,0.0,1.0,9.02,9.09,32.0,31.0009,72.0
207,9.0,2011.0,1.0,9.0,15.0,1.0,0.0,0.0,1.0,9.02,9.85,35.0,23.9994,82.0
208,9.0,2011.0,1.0,9.0,16.0,1.0,0.0,0.0,1.0,8.2,8.335,34.0,30.0026,92.0
209,9.0,2011.0,1.0,9.0,17.0,1.0,0.0,0.0,1.0,7.38,7.575,37.0,26.0027,62.0
210,9.0,2011.0,1.0,9.0,18.0,1.0,0.0,0.0,1.0,6.56,6.82,40.0,22.0028,48.0
211,9.0,2011.0,1.0,9.0,19.0,1.0,0.0,0.0,1.0,6.56,6.82,43.0,22.0028,41.0
212,9.0,2011.0,1.0,9.0,20.0,1.0,0.0,0.0,1.0,5.74,6.06,46.0,16.9979,38.0
213,9.0,2011.0,1.0,9.0,21.0,1.0,0.0,0.0,1.0,5.74,5.305,46.0,27.9993,20.0
214,9.0,2011.0,1.0,9.0,22.0,1.0,0.0,0.0,1.0,5.74,6.06,46.0,19.9995,15.0
215,9.0,2011.0,1.0,9.0,23.0,1.0,0.0,0.0,1.0,4.92,6.82,50.0,12.998,6.0
216,10.0,2011.0,1.0,10.0,0.0,1.0,0.0,1.0,1.0,4.92,6.06,50.0,19.0012,5.0
217,10.0,2011.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,4.92,6.06,50.0,19.0012,1.0
218,10.0,2011.0,1.0,10.0,2.0,1.0,0.0,1.0,1.0,4.92,6.06,50.0,15.0013,3.0
219,10.0,2011.0,1.0,10.0,3.0,1.0,0.0,1.0,1.0,4.92,6.06,50.0,15.0013,1.0
220,10.0,2011.0,1.0,10.0,4.0,1.0,0.0,1.0,1.0,4.1,6.06,54.0,8.9981,3.0
221,10.0,2011.0,1.0,10.0,5.0,1.0,0.0,1.0,1.0,4.1,5.305,54.0,16.9979,3.0
222,10.0,2011.0,1.0,10.0,6.0,1.0,0.0,1.0,1.0,4.92,6.06,50.0,19.0012,31.0
223,10.0,2011.0,1.0,10.0,7.0,1.0,0.0,1.0,1.0,4.92,6.06,50.0,15.0013,77.0
224,10.0,2011.0,1.0,10.0,8.0,1.0,0.0,1.0,2.0,4.92,6.06,50.0,19.0012,188.0
225,10.0,2011.0,1.0,10.0,9.0,1.0,0.0,1.0,2.0,5.74,6.06,50.0,16.9979,94.0
226,10.0,2011.0,1.0,10.0,10.0,1.0,0.0,1.0,2.0,5.74,6.06,50.0,19.9995,31.0
227,10.0,2011.0,1.0,10.0,11.0,1.0,0.0,1.0,2.0,6.56,6.82,47.0,19.0012,30.0
228,10.0,2011.0,1.0,10.0,12.0,1.0,0.0,1.0,2.0,8.2,9.09,40.0,19.0012,52.0
229,10.0,2011.0,1.0,10.0,13.0,1.0,0.0,1.0,2.0,8.2,9.09,40.0,19.0012,54.0
230,10.0,2011.0,1.0,10.0,14.0,1.0,0.0,1.0,2.0,8.2,9.85,40.0,15.0013,47.0
231,10.0,2011.0,1.0,10.0,15.0,1.0,0.0,1.0,2.0,8.2,9.85,40.0,15.0013,45.0
